x,t=1.00e-01s,t=2.00e-01s,t=5.00e-01s,t=1.00e+00s
1.294999999999999883e-06,4.604495913403917312e+18,6.609914812418134016e+18,8.252908830403992576e+18,8.455152319900801024e+18
1.301999999999999986e-06,4.621516988046238720e+18,6.636370186952110080e+18,8.287208146003162112e+18,8.490417888796819456e+18
1.308999999999999876e-06,4.638465783587474432e+18,6.662731768572644352e+18,8.321397306412238848e+18,8.525571296899977216e+18
1.315999999999999979e-06,4.655342473803337728e+18,6.688999644162821120e+18,8.355476321403264000e+18,8.560612544465594368e+18
1.322999999999999869e-06,4.672147231933556736e+18,6.715173900416910336e+18,8.389445200727855104e+18,8.595541631748439040e+18
1.329999999999999972e-06,4.688880230681171968e+18,6.741254623839514624e+18,8.423303954117104640e+18,8.630358559002765312e+18
1.336999999999999862e-06,4.705541642211794944e+18,6.767241900744760320e+18,8.457052591281496064e+18,8.665063326482263040e+18
1.343999999999999965e-06,4.722131638152933376e+18,6.793135817255437312e+18,8.490691121910804480e+18,8.699655934440100864e+18
1.351000000000000067e-06,4.738650389593287680e+18,6.818936459302176768e+18,8.524219555673996288e+18,8.734136383128894464e+18
1.357999999999999958e-06,4.755098067082075136e+18,6.844643912622630912e+18,8.557637902219126784e+18,8.768504672800715776e+18
1.365000000000000060e-06,4.771474840628374528e+18,6.870258262760629248e+18,8.590946171173273600e+18,8.802760803707091968e+18
1.371999999999999951e-06,4.787780879700455424e+18,6.895779595065372672e+18,8.624144372142404608e+18,8.836904776098981888e+18
1.379000000000000053e-06,4.804016353225162752e+18,6.921207994690591744e+18,8.657232514711311360e+18,8.870936590226825216e+18
1.385999999999999944e-06,4.820181429587254272e+18,6.946543546593747968e+18,8.690210608443508736e+18,8.904856246340468736e+18
1.393000000000000046e-06,4.836276276628806656e+18,6.971786335535199232e+18,8.723078662881116160e+18,8.938663744689225728e+18
1.399999999999999937e-06,4.852301061648591872e+18,6.996936446077396992e+18,8.755836687544801280e+18,8.972359085521826816e+18
1.407000000000000039e-06,4.868255951401490432e+18,7.021993962584070144e+18,8.788484691933667328e+18,9.005942269086465024e+18
1.413999999999999930e-06,4.884141112097895424e+18,7.046958969219408896e+18,8.821022685525144576e+18,9.039413295630748672e+18
1.421000000000000032e-06,4.899956709403144192e+18,7.071831549947278336e+18,8.853450677774938112e+18,9.072772165401729024e+18
1.427999999999999923e-06,4.915702908436947968e+18,7.096611788530378752e+18,8.885768678116881408e+18,9.106018878645871616e+18
1.435000000000000025e-06,4.931379873772834816e+18,7.121299768529490944e+18,8.917976695962884096e+18,9.139153435609089024e+18
1.441999999999999916e-06,4.946987769437621248e+18,7.145895573302624256e+18,8.950074740702831616e+18,9.172175836536699904e+18
1.449000000000000018e-06,4.962526758910866432e+18,7.170399286004258816e+18,8.982062821704471552e+18,9.205086081673453568e+18
1.455999999999999909e-06,4.977997005124326400e+18,7.194810989584538624e+18,9.013940948313348096e+18,9.237884171263526912e+18
1.463000000000000011e-06,4.993398670461500416e+18,7.219130766788476928e+18,9.045709129852690432e+18,9.270570105550487552e+18
