x,t=1.00e-01s,t=2.00e-01s,t=5.00e-01s,t=1.00e+00s
4.437999999999999691e-06,6.652926198254994432e+18,9.945560980952735744e+18,1.267513445748910285e+19,1.301134246508318106e+19
4.444999999999999794e-06,6.646645119457327104e+18,9.934800826503933952e+18,1.266052889997569229e+19,1.299626233331603866e+19
4.451999999999999896e-06,6.640314007123081216e+18,9.923958740498956288e+18,1.264581453031076659e+19,1.298107007584533094e+19
4.458999999999999998e-06,6.633932786917894144e+18,9.913034680492034048e+18,1.263099134365125632e+19,1.296576569254448333e+19
4.466000000000000101e-06,6.627501383950529536e+18,9.902028603740901376e+18,1.261605933512058266e+19,1.295034918328611430e+19
4.472999999999999356e-06,6.621019722772668416e+18,9.890940467207084032e+18,1.260101849980866560e+19,1.293482054794192077e+19
4.479999999999999458e-06,6.614487727378795520e+18,9.879770227556319232e+18,1.258586883277201818e+19,1.291917978638275174e+19
4.486999999999999561e-06,6.607905321206068224e+18,9.868517841158922240e+18,1.257061032903373824e+19,1.290342689847858176e+19
4.493999999999999663e-06,6.601272427134108672e+18,9.857183264090150912e+18,1.255524298358359450e+19,1.288756188409849856e+19
4.500999999999999766e-06,6.594588967484938240e+18,9.845766452130607104e+18,1.253976679137806541e+19,1.287158474311073792e+19
4.507999999999999868e-06,6.587854864022764544e+18,9.834267360766584832e+18,1.252418174734039654e+19,1.285549547538266112e+19
4.514999999999999970e-06,6.581070037953870848e+18,9.822685945190506496e+18,1.250848784636063744e+19,1.283929408078074880e+19
4.522000000000000073e-06,6.574234409926469632e+18,9.811022160301264896e+18,1.249268508329571123e+19,1.282298055917064806e+19
4.529000000000000175e-06,6.567347900030543872e+18,9.799275960704645120e+18,1.247677345296943104e+19,1.280655491041710285e+19
4.536000000000000278e-06,6.560410427797704704e+18,9.787447300713699328e+18,1.246075295017258394e+19,1.279001713438402355e+19
4.543000000000000380e-06,6.553421912201076736e+18,9.775536134349164544e+18,1.244462356966298829e+19,1.277336723093443994e+19
4.550000000000000482e-06,6.546382271655102464e+18,9.763542415339837440e+18,1.242838530616549990e+19,1.275660519993054003e+19
4.557000000000000585e-06,6.539291424015461376e+18,9.751466097123000320e+18,1.241203815437210829e+19,1.273973104123362714e+19
4.564000000000000687e-06,6.532149286578882560e+18,9.739307132844812288e+18,1.239558210894198989e+19,1.272274475470418534e+19
4.570999999999999942e-06,6.524955776083008512e+18,9.727065475360720896e+18,1.237901716450149990e+19,1.270564634020179149e+19
4.577999999999999198e-06,6.517710808706301952e+18,9.714741077235871744e+18,1.236234331564432179e+19,1.268843579758521754e+19
4.584999999999999300e-06,6.510414300067827712e+18,9.702333890745526272e+18,1.234556055693143245e+19,1.267111312671234048e+19
4.591999999999999403e-06,6.503066165227190272e+18,9.689843867875473408e+18,1.232866888289120051e+19,1.265367832744021402e+19
4.598999999999999505e-06,6.495666318684353536e+18,9.677270960322447360e+18,1.231166828801944781e+19,1.263613139962503168e+19
4.605999999999999607e-06,6.488214674379503616e+18,9.664615119494557696e+18,1.229455876677946778e+19,1.261847234312213094e+19
4.612999999999999710e-06,6.480711145692948480e+18,9.651876296511707136e+18,1.227734031360210739e+19,1.260070115778600755e+19
4.619999999999999812e-06,6.473155645444927488e+18,9.639054442206023680e+18,1.226001292288583066e+19,1.258281784347032166e+19
4.626999999999999914e-06,6.465548085895543808e+18,9.626149507122268160e+18,1.224257658899672883e+19,1.256482240002785485e+19
4.634000000000000017e-06,6.457888378744564736e+18,9.613161441518313472e+18,1.222503130626862694e+19,1.254671482731059405e+19
4.641000000000000119e-06,6.450176435131347968e+18,9.600090195365533696e+18,1.220737706900311040e+19,1.252849512516964352e+19
4.648000000000000222e-06,6.442412165634668544e+18,9.586935718349273088e+18,1.218961387146959872e+19,1.251016329345527603e+19
4.655000000000000324e-06,6.434595480272614400e+18,9.573697959869253632e+18,1.217174170790537421e+19,1.249171933201694310e+19
4.662000000000000426e-06,6.426726288502448128e+18,9.560376869040074752e+18,1.215376057251568026e+19,1.247316324070323814e+19
4.668999999999999682e-06,6.418804499220486144e+18,9.546972394691588096e+18,1.213567045947373568e+19,1.245449501936192922e+19
4.675999999999999784e-06,6.410830020761958400e+18,9.533484485369407488e+18,1.211747136292081869e+19,1.243571466783993037e+19
4.682999999999999887e-06,6.402802760900909056e+18,9.519913089335334912e+18,1.209916327696631808e+19,1.241682218598336512e+19
